ID,Entry,OriginalEmotion,ValidatedEmotion
73,sınavlardan iyi notlar aldığımda ya da gerçekten insanlara bir yararım dokunduğunda mutlu olurum.,Happy,Happy
74,eve hırsız girdikten sonra evde tek kaldığım için geceleri ışık açık uyuyorum.,Fear,Fear
75,"otobüste değil ama bayram dönüşü eve hırsız girdiğinde, hem bir takım şeyleri aldığı, hem de polisin bir sürü zamanımı aldığı için çok öfkelenmiştim",Anger,Anger
76,"civciv, balık ve benzeri hangi hayvan ölürse ölsüm çok üzüldüm. bir süre sonra hayvan almamaya ve bakmamaya başladım. Ölmelerini kaldıramıyorum hiçbir şekilde",Sadness,Sadness
77,ikisinden de tiksinmiyorum,Disgust,Disgust
78,öyle bir durum yok,Surprise,Ambigious
79,Galatasaray'ın galibiyetine çok mutlu oluyorum,Happy,Happy
80,Eskiden gece tek başıma karanlıkta korku filmi izlediğimde çok korkardım.,Fear,Fear
81,İddaa kuponum tek maçtan yatınca çok öfkeleniyorum.,Anger,Anger
82,Dedem vefat ettiğinde çok üzülmüştüm.,Sadness,Sadness
83,Evde veya arabada sigara içilmesinden nefret ediyorum.,Disgust,Disgust
84,Hiç ummadığım bir yerde uzun zamandır görüşmediğim arkadaşımla karşılaştığımda şaşırıyorum.,Surprise,Surprise
85,Ödevi tamamlamak,Happy,Happy
86,Ödevden düşük almak,Fear,Sadness
87,Ödevde yapamadığım şeyin tekrar etmesi,Anger,Anger
88,Kuşumun öldüğü zaman,Sadness,Sadness
89,Tripofobi,Disgust,Ambigious
90,Hocamızın dersi erken bitirmesi,Surprise,Happy
91,uyuduğum zamanlar.,Happy,Happy
92,ödevi kaydetmediğimi düşündüğüm an.,Fear,Fear
93,haksızlığa uğrayan birini gördüğümde .,Anger,Sadness
94,okula her gün bir buçuk saatte gelmek.,Sadness,Anger
95,yere çöp atan insanlardan.,Disgust,Disgust
96,annemin yeni aldığı yemek tariflerine.,Surprise,Ambigious
97,Evime giderken mutlu oluyorum.,Happy,Happy
98,Fizik vizem açıklanırken kalbim deli gibi atıyor.,Fear,Fear
99,Soru sormak için hocaya gittiğimde oyun oynadığını söylediğinde öfkelendim,Anger,Anger
100,Evimden ayrılırken üzülüyorum.,Sadness,Sadness
101,Oda arkadaşımın bütün gece horlaması,Disgust,Anger
102,Cebimde geçen kıştan 50 lira bulunca şaşırdım.,Surprise,Surprise
103,Ödevler projeler bitti.,Happy,Happy
104,memlekete giderken kaza yaptık çok ürkütücüydü.,Fear,Fear
105,projemi yetiştiremedim.,Anger,Sadness
106,iyi beklediğim sınav kötü geldi.,Sadness,Surprise
107,Yurdun pisliğinden bıktım.,Disgust,Disgust
108,düşük beklediğim sınavın sonucu yüksek geldi.,Surprise,Happy
109,sevdiklerimle hep beraber olduğum anlarda mutlu olurum.,Happy,Happy
110,üniversite sınavının sonucunu beklerken korktum.,Fear,Fear
111,ahmak yerine konduğumda öfkeli olurum.,Anger,Anger
112,kız arkadaşımdan ayrıldıktan sonra üzüntülü olurum.,Sadness,Sadness
113,yemeğimin içinde yüzen sinek beni tiksindirir.,Disgust,Disgust
114,uzun zamandır göremediğim arkadaşımı gördüğüm zaman şaşırmıştım.,Surprise,Surprise
115,cuma akşamları eve geldiğimde.,Happy,Happy
116,yanlış ödevi yüklediğimi fark ettiğim an.,Fear,Fear
117,proje bitince ödev. ödev bitince proje verilmesi.,Anger,Anger
118,otobüsü kaçırmak.,Sadness,Fear
119,okulun lavabolarından tiksiniyorum.,Disgust,Disgust
120,segmentation fault almamak.,Surprise,Ambigious
121,Gs UEFA kupasını aldığında çok mutlu olmuştum.,Happy,Happy
122,"Karşımda üç köpek görünce biraz şaşırdım ama büyük bir sıkıntı yoktu, ta ki son hızla beni kovalamaya başlamalarına kadar...",Fear,Fear
123,Fenerbahçe şike yapınca çok öfkelendim.,Anger,Anger
124,Dom ödevini gördükten sonra çok üzüldüm...,Sadness,Sadness
125,"Evime bir misafir geldiğinde, 'Sigara içebilir miyim?' sorusunu sormasından hoşlanmıyorum.",Disgust,Anger
126,Lisede İngilizce sınavından 100 alınca çok şaşırmıştım.,Surprise,Surprise
127,yani üniversiteyi kazandığımda tabii ki de,Happy,Happy
128,küçükken arkadaşlarla eski içinde kimse yaşamayan bir konağa girmiştik. ama aslında orada bir evsiz yaşıyormuş. Tam göremedim ama elinde orak gibi bir şeyle bizi kovalamıştı. Altıma etmiştim,Fear,Fear
130,küçükken tavşanım vardı. Evde beslerdim. Bağa gittiğimde doğaya bırakırdım gezsin tozsun diye ama akşam vakti eve geri dönecekken çok zor geri yakalardım hep benden kaçardı. çok üzülürdüm.,Sadness,Sadness
131,yani yurtta kalıyorum. Oda arkadaşlarımın bazı davranışlarından bıkmadım değil. eve çıkacağım zaten,Disgust,Ambigious
132,ben babamın askerden dönüşünü hatırlıyorum. yani küçük olduğumdan ne hissettiğimi hatırlamıyorum açıkçası,Surprise,Ambigious
133,ilk kez dayı olmuştum hayretler içerisinde yeğenime sarıldım,Happy,Happy
134,ilk kez dişçiye gittiğimde çok korkmuştum,Fear,Fear
135,Her zamanki günlerden biriydi otobüse binmiştim ancak inerken birde baktım ki cüzdanım çalınmış çok öfkelendim,Anger,Anger
136,10 yaşındayken karabaş adında bir köpeğim vardı karşıdan karşıya geçerken araba çarptı ve öldü,Sadness,Sadness
137,evimde ben de dahil sigara içemem ve içmelerine izin vermem. Ancak bir gün misafirlerden birisi geldi ve sigara içebilir miyim dedi. hayır diyemedim yakın akrabaydı ama tiksiniyordum.,Disgust,Disgust
138,oğlum askerdeydi ve daha 6 ay gelmesini beklemiyordum. Ancak bir sabah kapı çaldı ve bir de baktım ki karşımda oğlum,Surprise,Surprise
139,"kaç aydır amaçladığım bir hedefe yaklaşınca,ulaşmaya ramak kalınca kendimi huzurlu ve mutlu hissederim",Happy,Happy
140,"Hiçbir çorabımın yıkalı olmadığını fark edip,kalan tek çorabın diğer çiftinin olmadığını öğrendiğimdeki korku dolu an",Fear,Fear
141,"Önümdeki dolmuş şoförü,bencilce sinyal vermeden durduğunda hissettiğim  öfke.",Anger,Anger
142,ailemi kaç ay görmeyince duyduğum hüzünle dolu özlem duygusu,Sadness,Sadness
143,bir insanın doymak bilmeyen sonsuz egosuyla övünerek konuşması,Disgust,Anger
144,aldığım notun beklemediğimden düşük çıkması,Surprise,Surprise
145,uzun süredir görüşmediğim ailem ile bir raya geldiğimde çok sevindim,Happy,Happy
146,en son ne zaman korku hissettiğimi hatırlamıyorum,Fear,Fear
147,daha önce verilmiş olan söz unutulduğunda çok öfkelendim,Anger,Anger
148,kaybettiğim yakınlarımı düşündüğümde büyük üzüntü hissediyorum,Sadness,Sadness
149,Bütün gün uyuyup hiçbir şey yapmamaktan tiksiniyorum,Disgust,Disgust
150,Yıllardır görmediğim arkadaşım ile karşılaştığımda şaşırdım,Surprise,Surprise
151,Şu anda okumakta olduğum üniversiteyi kazandığımı öğrenince çok sevinmiştim,Happy,Happy
152,Küçükken beni iki köpek kovalamıştı ve yabancı bir yerde olduğum için saklanabileceğim bir yer yoktu,Fear,Fear
153,Daha önce kaldığım yurtta birden çok kez haklı olmama rağmen haksız duruma düşürülmem beni çok sinirlendirdi,Anger,Anger
154,DOM dersinin ödevi ve lab puanlama sistemi beni çok üzdü,Sadness,Sadness
155,Eski oda arkadaşlarımın iğrenç davranışlarından bıktım,Disgust,Disgust
156,Yeni tanıştığım insanların benim hakkımda edindikleri fikirler beni şaşırtıyor,Surprise,Surprise
157,dersi aa notu ile geçmek,Happy,Happy
158,1.8 ortalamanın altında kalmak,Fear,Fear
159,derse hiç gelmeyen arkadaşımın benden fazla var yazılması,Anger,Anger
160,fd notu ile kaldığımı görünce,Sadness,Sadness
161,derslerin lablarından ve ödevlerinden,Disgust,Ambigious
162,ödevlerde en az 50 almak şart olduğunu öğrendiğimde,Surprise,Surprise
175,ben küçük bir çocukken yanıma yanaşan amca şekerin pantolonunun cebinde olduğunu söylediğinde çok mutlu olmuştum.,Happy,Happy
176,ben küçük bir çocukken arabayla yanıma yanaşan amca şeker vermeyi teklif ettiğinde korku dolu anlar yaşamış avazım çıktığınca bağırmıştım.,Fear,Fear
177,ben küçük bir çocukken arabayla yanıma yanaşan amca vaat ettiği şekeri vermeyince öfkelenmiştim.,Anger,Anger
178,o acı tecrübenin sonunda en azından bir şeker alamamak beni gerçekten üzen tek şeydi,Sadness,Sadness
179,amcanın şeker olduğunu söylediği şeyin şeker olmadığını iş işten geçtikten sonra fark ettiğimde tiksinmiştim,Disgust,Disgust
180,bu beni şaşırtmıştı da aynı zamanda,Surprise,Surprise
182,Dün akşam iflah olmaz bir alkolik olduğumu anladım ve kendimden korktum.,Fear,Fear
183,Kütahya'ya muazzam bir terminal yapıldığında çok öfkelendim. Hatta kendime zarar verdim.,Anger,Anger
184,Pokemon dizisinde Pikachu-Ash ayrılığında ağlamıştım. Kimseye söylemedim ama gözümden süzülen yaşlara engel olamadım.,Sadness,Sadness
185,Arkadaşımın cinsiyeti hakkında yanılmışım. Doğrusunu öğrendiğimde tiksindim ve uzaklaştım.,Disgust,Disgust
186,Amcamın mesleğini öğrendiğimde çok şaşırmıştım. Kendisi fakir genç kızların geçimine yardımcı oluyordu.,Surprise,Surprise
187,Galatasaray'ın şampiyonluğu beni çok mutlu etti.,Happy,Happy
188,Yaklaşan DOM ödevinden çok korkuyorum.,Fear,Fear
189,Lab da bilgisayar yanlışlıkla kapandığında sinirlerime hakim olamadım.,Anger,Anger
190,Projeyi tamamlayamayınca çok üzüldüm.,Sadness,Sadness
191,Sürekli verilen ödevlerden bıktım,Disgust,Anger
192,Logic dersinde AA notu gelince şok oldum.,Surprise,Happy
193,projeyi bitirmekten çok mutluluk duyarım,Happy,Happy
194,projeyi bitirememekten çok korkarım,Fear,Fear
195,projeyi tam anlatamayan hocalara çok öfkelenirim,Anger,Anger
196,projeden kalmaktan üzüntü duyarım,Sadness,Sadness
197,çalışmayan proje arkadaşından tiksinirim,Disgust,Disgust
198,proje kodu atan arkadaşlara çok şaşırırım,Surprise,Surprise
199,Bu labı bütün öğrenciler anlamış ve 100 almış şekilde tamamlayacaklar. Akşam hepimiz rahat uyuyacağız.,Happy,Happy
200,DOM labı geç biter diye düşünceler bastı...,Fear,Fear
201,Yine mi ödev! Hep ödev hep ödev!,Anger,Anger
202,Bisküviyi marketin 2 katı fiyatına satan bir kantinimiz var. 75 kuruşa satılan bisküviye 1 lira 50 kuruş verdiğim için çok üzüldüm.,Sadness,Sadness
203,Yola tükürmek ya da izmarit atmak pek hoş değil sanki.,Disgust,Disgust
204,Çayı yeni demlemişler sanmıştım fakat çok beklemiş. Oysa ki yeni demlediklerine emindim.,Surprise,Ambigious
205,Hiç beklemediğim bir yerden para gelmesine çok sevindim,Happy,Happy
206,İlk kez korku filmi seyrettiğimde etkisi altında kalıp uyuyamamıştım,Fear,Fear
207,İnsanların yardıma ihtiyacı olup yardım edip ben yardım istediğim zaman kimsenin bana yardım etmemesine çok sinir olurum,Anger,Anger
208,Vefat eden dayımı düşünmek içimi çok acıtıyor.,Sadness,Sadness
209,Evde bozulan şeyleri görüp onları atarken çok tiksinirim,Disgust,Disgust
210,Paramın az harcadığım halde en son baktığımda hiç kalmamasına çok şaşırdım,Surprise,Surprise
211,Çayı başkasının demlemesi,Happy,Ambigious
212,Yükseklik,Fear,Fear
213,Gıcıklık yapılması,Anger,Anger
214,Vefat,Sadness,Sadness
215,Birisinin yanımda kusması;,Disgust,Disgust
216,sürpriz yapılması,Surprise,Happy
218,gece yatarken nereden geldiğini anlayamadığım sesler,Fear,Fear
219,ev arkadaşımın haddinden ağır lafları,Anger,Anger
220,vefat eden akraba,Sadness,Sadness
221,arkadaşlarımın evine gittiğimde mutfakta aylardır yıkanmayan tencerelerin kokusu,Disgust,Disgust
222,alakasız iki insanın birbirini bulup sevgili olması,Surprise,Surprise
223,Ne yaptığımı bilmeden yazdığım kod doğru çıktı verince seviniyorum.,Happy,Happy
224,İri kıyım 3 5 kişiden dayak yemekten korkuyorum.,Fear,Fear
225,Arkadaşım haksızlığa uğradığında çok öfkeleniyorum.,Anger,Anger
226,"USB Belleğimi ve zippomu kaybettiğimde çok üzüldüm, ayrıca ölüm o kadar da üzülmeye değer bir şey değil. Doğum gibi sıradan bir olay.",Sadness,Sadness
227,"Kezban kızlar ağzını yaya yaya konuştuğunda, o ve onun gibilerden tiksiniyorum.",Disgust,Disgust
228,Herhangi bir dersten bütünleme sınavına girmeden geçince çok şaşırıyorum.,Surprise,Surprise
229,2 yaz önce ilk defa İngiltere'ye gittiğim zaman çok mutlu oldum.,Happy,Happy
230,2005 yılında evde yalnızken şiddetli bir deprem olduğunda çok korkmuştum.,Fear,Fear
231,Arkadaşlarımın bana kazık atması beni çok öfkelendirir.,Anger,Anger
232,Annemin hasta olduğunu öğrendiğim gün çok üzüldüm.,Sadness,Sadness
233,Birinin karşımda ağzını şapırdatarak yemek yemesinden tiksinirim.,Disgust,Disgust
234,doğum günümde evde hasta olarak yattığını söyleyen erkek arkadaşımı eve gelince birden karşımda görünce çok şaşırmıştım.,Surprise,Surprise
235,Jessie-j konserine gideceğim için çok mutluyum.,Happy,Happy
236,Projeden korkuyorum,Fear,Fear
237,Yine mi ödev bıktım,Anger,Ambigious
238,hava soğuk ve yağmurlu olduğu için çok mutsuzum.,Sadness,Sadness
239,ödevlerden tiksiniyorum,Disgust,Disgust
240,şarjımın bittiğini görünce çok şaşırdım.,Surprise,Surprise
241,çok sevdiğim arkadaşlarımın yanındayken ve ailemleyken mutlu olurum,Happy,Happy
242,yanımda kimse yoksa karanlıktan korkarım,Fear,Fear
243,otobüsü kaçırdığımda öfkelenirim,Anger,Anger
244,labları yapamayınca üzülüyorum,Sadness,Sadness
245,kurbağalardan tiksinirim,Disgust,Disgust
246,ders iptal olduğunda,Surprise,Happy
247,abimin oğlu olacağına çok sevindim. amca oluyorum,Happy,Happy
248,küçükken ilkokulda iğne olunacağı zaman çok korkmuştum,Fear,Fear
249,tınaztepe de insanlar insin diye otobüsten inip tekrar binemeyince çok öfkeleniyorum. Otobüs mü küçülüyor yoksa içerideki insanlar mı genleşiyor anlamıyorum,Anger,Anger
250,ev yaparken babamın ufak bir kaza geçirmesine çok üzüldüm,Sadness,Sadness
251,eve gelen misafirin çocuğunun labtop tuşlarına sürekli basması,Disgust,Anger
252,meslek yüksek okulundan eski bir arkadaşım bana kendi telefonunu hediye edince çok şaşırmıştım,Surprise,Surprise
253,Arkadaşımı Pes2015 oyununda yendiğim için çok mutluyum.,Happy,Happy
254,"Yağmurlu havada kaymıştım, düşmekten çok korkmuştum.",Fear,Fear
256,Tam evin kapısındayken evin anahtarını arabada unutunca çok üzüldüm.,Sadness,Sadness
257,Böcekler!,Disgust,Fear
258,Ödevi yüklemeyi unuttuğuma çok şaşırdım.,Surprise,Surprise
260,bu ürkme eylemleri daha çok korku filmleri izlerken olurdu.,Fear,Fear
262,bu olayı yaşadım çünkü caddeden geçen araba ona aniden çarptı. sonra çok üzülmüştüm,Sadness,Sadness
263,odadayken arkadaşımın dağınıklığı moralimi bozardı ben de onu uyarırdım.,Disgust,Ambigious
265,Çocukluk hayalim olan Bilgisayar Mühendisliği bölümünü kazandığımda çok mutlu oldum.,Happy,Happy
266,Evde yalnız kaldığımda karanlıkta uyumaktan korkuyorum.,Fear,Fear
267,İnsanların arkamdan konuştuklarını öğrendiğimde çok öfkelendim.,Anger,Anger
268,Anneannem ve dedem vefat ettiğinde çok üzüldüm.,Sadness,Sadness
269,Mutfakta gezinen hamam böceği görünce çok tiksiniyorum.,Disgust,Disgust
270,Kötü geçtiğini düşündüğüm bir sınavdan yüksek not aldığımda şaşırdım.,Surprise,Surprise
1002,eşim ve oğlumla birlikte gezmek benim için en güzel aktivitedir. Onlar yanımdayken çok mutluyum.,Happy,Happy
1003,Küçükken karanlıktan çok korkardım.,Fear,Fear
1004,Hak ettiğimiz atamaların yapılmaması beni çok sinirlendiriyor.,Anger,Anger
1005,Terk edilmiş çocukları gördüğümde içim acıyor.,Sadness,Sadness
1006,Bozulmuş balık ceset gibi iğrenç kokar.,Disgust,Disgust
1007,Eşimin odasını topladığını görünce çok şaşırdım çünkü her zaman odası çok dağınıktır.,Surprise,Surprise
2002,Anne olacağımı öğrendiğimde çok mutlu olmuştum.,Happy,Happy
2003,Sevdiklerimi kaybetmekten korkarım.,Fear,Fear
2004,Arkadaşımın  yalan söylemesi beni çok öfkelendirdi.,Anger,Anger
2005,Fakir bir ailenin  evsiz kalışı canımı yaktı.,Sadness,Sadness
2006,Garsonun ellerini görünce yemeği yiyemedim.,Disgust,Disgust
2007,Cebimde unuttuğum parayı bulunca çok şaşırdım.,Surprise,Surprise
2008,Emekli olmak benim için yeni ve güzel bir hayata yelken açmak demekti.,Happy,Happy
2009,Araba kazasından sonra bir daha direksiyona geçemedim.,Fear,Fear
2010,Kardeşimin benden habersiz arabamı alması ilişkimizin sıkıntıya girmesine sebep oldu.,Anger,Anger
2011,Babamın vefatı bende onarılmaz yaralar açtı.,Sadness,Sadness
2012,Odamda gördüğüm hamam böceğinden tiksindim.,Disgust,Disgust
2013,Çocukluk arkadaşımı karşımda görünce ne yapacağımı şaşırdım.,Surprise,Surprise
2014,Bayramda çocuklarımı karşımda görünce mutlu oldum.,Happy,Happy
2015,Yaşlı arabamın motorundan gelen dumanlar kesilmeyince korktum.,Fear,Fear
2016,Kooperatif yöneticisinin açıkça hakkımızı yemesine çok  öfkelendim.,Anger,Anger
2017,Arabamın göz göre göre yanmasını çaresizce seyretmek beni üzdü.,Sadness,Sadness
2018,Doğru bir insan olduğunu zannettiğim kişinin açıkça hak yediğini gördüğümde tiksindim.,Disgust,Disgust
2019,İnsanların küçücük menfaatler için dün ak dediklerine bugün kara demeleri beni şaşırtıyor.,Surprise,Surprise
2020,diktiğim fidanların baharla birlikte yemyeşil yapraklarla bezenmesi içimi mutlulukla doldurdu.,Happy,Happy
2021,Yağmurun ıslattığı ve kenarları kısmen kaymış toprak yoldan aşağıya arabamla korka korka inmeyi başardım.,Fear,Fear
2022,"Bahçenin kapısının çoban tarafından açılarak, yeni diktiğim ve henüz yapraklanmaya başlamış fidanlarımın hayvanlar tarafından yedirilmesi beni öfkelendirdi.",Anger,Anger
2023,Aşırı yağmurun bin bir zahmetle diktiğim sebzeleri sular içinde bırakmasına üzüldüm.,Sadness,Sadness
2024,Piknik yapanların ağaçların arasına bıraktığı boş şişe ve poşetler içimi kararttı.,Disgust,Anger
2025,Bu mevsimde hiç durmadan akşam başlayan yağmurun sabaha kadar sürmesine şaşırdım kaldım.,Surprise,Surprise
2026,"Yeğenlerimi alıp sevince çok mutlu oluyorum. Hele de kız bebeklerin tatlılığı içimi sarıp sarmalıyor. O masum ve musaffa gülüşlerin ileriki yaşlarını tahayyül ediyor ve onların yanında olmak arzusu duyuyorum. İlk veya son, hepsi de birbirinden tatlı, insana mutluluk veren çehreler olmuştur benim için.",Happy,Happy
2027,Ailem memlekete gittiğinde birkaç gün evde yalnız kalmıştım. O zaman zarfında özellikle gece uyumakta biraz zorlandım. Bir an ailemin olmadığı ev yaşantısını düşününce ürperdim. Bir an önce gelmelerini bekledim. Geceleri ses olmasa da hafif ürpermeler yaşadım.,Fear,Fear
2028,Öfkelenmekle elime hiçbir şey geçmeyeceği eğer varsa öfkemi zapt etmeye çalışırım. Aksi takdirde rahatlayamayacağımı düşünürüm.,Anger,Anger
2029,"Benim için neşe kaynağı olan, sevimli ve kocaman gözleriyle koşup duran köpeğimi kaybettiğimde içimde bir burukluk hissettim. Sevimli tavırlarıyla nasıl da severdim onu. İçimin sıkıldığı kimi zamanlarda sanki beni teselli etmek istercesine, aniden bana doğru koşardı. Evimde çoğu zaman yanımdan ayrılmayan bir arkadaş olmuştu.",Sadness,Sadness
2030,Oda arkadaşımın dağınık olduğunu kırmadan söylemeye çalışırım. Bunu bıkkınlıktan değil kendi psikolojisini düzeltebilmesi için bir yerden başlaması gerektiğini belirtmek için söylemeye çalıştığım olmuştur.,Disgust,Ambigious
2031,"Özlem duygusunun yanı sıra askerlik süresince değişmiş bulduğum oğlumu ilk gördüğümde şaşakalmıştım. Zayıflamış, süzülmüş, suskun bir haldeydi. Acaba bizim bilmediğimiz acı olaylar mı yaşamıştı. Gözlerinin içine baktığımda bunu hissedebiliyordum. Birden benim de içimi bir hüzün ve keder sardı, oğlumu sımsıkı bağrıma bastım ve evin yolunu tuttuk. Eve vardığımızda onun acılarını yüreğimin sıcaklığıyla dindirmeye kararlıydım.",Surprise,Sadness
2032,Kızım doğduğunda çok mutlu oldum.,Happy,Happy
2033,Kendi öfkemden korkuyorum. Gün gelip kendimi kaybedeceğimden.,Fear,Fear
2034,"Şehrime gelip ortalığı karıştıran, haraç kesmeye çalışan, hırsızlık yapan, uyuşturucu satan doğu kökenli şerefsizlere çok öfkeleniyorum.",Anger,Anger
2035,Şehit olan arkadaşlarımı düşününce üzülürüm.,Sadness,Sadness
2036,Yemeğin içinden bir tutam halinde saç çıkması.,Disgust,Disgust
2038,Üniversiteyi normal eğitim süresi içerisinde bitirdiğimde çok mutlu olmuştum.,Happy,Happy
2039,Çocukken mahalle arasında sokak köpekleri beni kovaladığında çok korkmuştum.,Fear,Fear
2040,Garanti süresi dolmadan önce arızalanan televizyonumun bakımını yapmaya isteksiz davranan yetkili servis personeline çok öfkelendim.,Anger,Anger
2041,Oğluma hiperaktif teşhisi konulduğu gün çok üzülmüştüm.,Sadness,Sadness
2042,İş toplantıları için gittiğim Avrupa ülkelerindeki tuvaletlerde taharet musluğu olmamasından hoşlanmıyorum.,Disgust,Disgust
2043,Aynı iş yerinde beraber çalıştığım erkek ve kız iki mühendis arkadaşın bir anda birbirleriyle evlilik kararı almalarına çok şaşırdım.,Surprise,Surprise
2044,Kedi görünce mutlu oluyorum.,Happy,Happy
2045,Gece karanlığında ıssız bir yerden yalnız başına geçmektedir korkarım.,Fear,Fear
2046,Çocukların beni dinlememesine sinirleniyorum.,Anger,Anger
2047,Çok sevdiğim bir yazarla tanışamamak beni üzüyor,Sadness,Sadness
2048,İş arkadaşımın tavırları beni rahatsız ediyor,Disgust,Anger
2049,Hiç beklemediğim bir sınavdan iyi not alınca  çok  şaşırdım.,Surprise,Surprise
2050,Doktoranın bitmesi beni çok sevindirir,Happy,Happy
2051,10 Küçük Zenci'yi ilk okuduğumda evde tektik ve 12 yaşındaydım.,Fear,Ambigious
